,date,state,positive
0,2020-04-02,AB,9
1,2020-04-02,AR,110
2,2020-04-02,AG,10
3,2020-04-02,BC,19
4,2020-04-02,BH,39
5,2020-04-02,BN,22
6,2020-04-02,BT,40
7,2020-04-02,BV,117
8,2020-04-02,BR,11
9,2020-04-02,BZ,12
10,2020-04-02,CS,13
11,2020-04-02,CL,17
12,2020-04-02,CJ,105
13,2020-04-02,CT,111
14,2020-04-02,CV,34
15,2020-04-02,DB,19
16,2020-04-02,DJ,22
17,2020-04-02,GL,82
18,2020-04-02,GR,19
19,2020-04-02,GJ,7
20,2020-04-02,HR,0
21,2020-04-02,HD,100
22,2020-04-02,IL,37
23,2020-04-02,IS,54
24,2020-04-02,IF,54
25,2020-04-02,MM,39
26,2020-04-02,MH,10
27,2020-04-02,MS,38
28,2020-04-02,NT,107
29,2020-04-02,OT,8
30,2020-04-02,PH,27
31,2020-04-02,SM,16
32,2020-04-02,SJ,6
33,2020-04-02,SB,22
34,2020-04-02,SV,701
35,2020-04-02,TR,16
36,2020-04-02,TM,98
37,2020-04-02,TL,6
38,2020-04-02,VS,9
39,2020-04-02,VL,7
40,2020-04-02,VN,60
41,2020-04-02,B,505
42,2020-04-03,AB,13
43,2020-04-03,AR,110
44,2020-04-03,AG,12
45,2020-04-03,BC,24
46,2020-04-03,BH,44
47,2020-04-03,BN,27
48,2020-04-03,BT,44
49,2020-04-03,BV,124
50,2020-04-03,BR,13
51,2020-04-03,BZ,12
52,2020-04-03,CS,17
53,2020-04-03,CL,26
54,2020-04-03,CJ,108
55,2020-04-03,CT,117
56,2020-04-03,CV,38
57,2020-04-03,DB,19
58,2020-04-03,DJ,27
59,2020-04-03,GL,90
60,2020-04-03,GR,22
61,2020-04-03,GJ,8
62,2020-04-03,HR,1
63,2020-04-03,HD,108
64,2020-04-03,IL,45
65,2020-04-03,IS,72
66,2020-04-03,IF,60
67,2020-04-03,MM,46
68,2020-04-03,MH,11
69,2020-04-03,MS,55
70,2020-04-03,NT,150
71,2020-04-03,OT,8
72,2020-04-03,PH,27
73,2020-04-03,SM,16
74,2020-04-03,SJ,7
75,2020-04-03,SB,27
76,2020-04-03,SV,866
77,2020-04-03,TR,24
78,2020-04-03,TM,126
79,2020-04-03,TL,6
80,2020-04-03,VS,11
81,2020-04-03,VL,8
82,2020-04-03,VN,70
83,2020-04-03,B,544
84,2020-04-04,AB,15
85,2020-04-04,AR,128
86,2020-04-04,AG,14
87,2020-04-04,BC,27
88,2020-04-04,BH,46
89,2020-04-04,BN,28
90,2020-04-04,BT,48
91,2020-04-04,BV,127
92,2020-04-04,BR,11
93,2020-04-04,BZ,12
94,2020-04-04,CS,17
95,2020-04-04,CL,29
96,2020-04-04,CJ,121
97,2020-04-04,CT,110
98,2020-04-04,CV,37
99,2020-04-04,DB,27
100,2020-04-04,DJ,27
101,2020-04-04,GL,101
102,2020-04-04,GR,23
103,2020-04-04,GJ,8
104,2020-04-04,HR,1
105,2020-04-04,HD,123
106,2020-04-04,IL,50
107,2020-04-04,IS,81
108,2020-04-04,IF,64
109,2020-04-04,MM,42
110,2020-04-04,MH,13
111,2020-04-04,MS,57
112,2020-04-04,NT,148
113,2020-04-04,OT,11
114,2020-04-04,PH,25
115,2020-04-04,SM,15
116,2020-04-04,SJ,5
117,2020-04-04,SB,27
118,2020-04-04,SV,967
119,2020-04-04,TR,21
120,2020-04-04,TM,136
121,2020-04-04,TL,6
122,2020-04-04,VS,11
123,2020-04-04,VL,9
124,2020-04-04,VN,70
125,2020-04-04,B,550
126,2020-04-04,-,5
127,2020-04-05,AB,33
128,2020-04-05,AR,150
129,2020-04-05,AG,25
130,2020-04-05,BC,38
131,2020-04-05,BH,46
132,2020-04-05,BN,42
133,2020-04-05,BT,68
134,2020-04-05,BV,131
135,2020-04-05,BR,11
136,2020-04-05,BZ,12
137,2020-04-05,CS,21
138,2020-04-05,CL,30
139,2020-04-05,CJ,110
140,2020-04-05,CT,114
141,2020-04-05,CV,47
142,2020-04-05,DB,23
143,2020-04-05,DJ,27
144,2020-04-05,GL,101
145,2020-04-05,GR,24
146,2020-04-05,GJ,8
147,2020-04-05,HR,1
148,2020-04-05,HD,124
149,2020-04-05,IL,56
150,2020-04-05,IS,88
